2021-07-06 18:07:813 INFO  BasePage :31 - Launching Chrome Browser 
2021-07-06 18:07:139 INFO  BasePage :31 - Launching Chrome Browser 
2021-07-06 18:07:988 INFO  BasePage :31 - Launching Chrome Browser 
2021-07-06 18:07:274 INFO  HomePage :26 - MouseHover to buy+sell tab : [[ChromeDriver: chrome on WINDOWS (fc6ae37b685710c2bd4e41581e766d53)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 18:07:157 INFO  BasePage :31 - Launching Chrome Browser 
2021-07-06 18:07:603 INFO  HomePage :26 - MouseHover to buy+sell tab : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 18:07:814 INFO  HomePage :30 - Click to SearchCars : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 18:07:916 INFO  NewUsedCarSearchPage :28 - Verify Text, New & Used Car Search : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 18:07:503 INFO  NewUsedCarSearchPage :34 - Select Make of the Car : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //select[@id='makes']]
2021-07-06 18:07:941 INFO  NewUsedCarSearchPage :39 - Select Model of the Car : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //select[@id='models']]
2021-07-06 18:07:336 INFO  NewUsedCarSearchPage :44 - Select Location  : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //select[@id='locations']]
2021-07-06 18:07:725 INFO  NewUsedCarSearchPage :49 - Select Price(Max) : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //select[@id='priceTo']]
2021-07-06 18:07:542 INFO  NewUsedCarSearchPage :53 - Click on, Find My Next Car button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 18:07:592 INFO  AllNewandUsedCars :19 - Verify Text : [[ChromeDriver: chrome on WINDOWS (9cbb2359a1d720e4b84903e4edb87ab3)] -> xpath: //h1[@class = 'listing-search-title']]
2021-07-06 18:07:928 INFO  BasePage :31 - Launching Chrome Browser 
2021-07-06 18:07:307 INFO  HomePage :26 - MouseHover to buy+sell tab : [[ChromeDriver: chrome on WINDOWS (ac62ad5fb75a6ba216bf504e71472a21)] -> xpath: //a[contains(text(),'buy + sell')]]
